method,family,k,dataset,auc_mean,stability_nogueira,bacc,n_feat,runtime_fs,difficulty_tier,dsk_median_auc,relative_auc
anova,Filter,10,Breast_GSE70947,0.9342,0.6202,0.8731,10.0,,Medium,0.9285,0.0057
anova,Filter,10,Colorectal_GSE44076,0.9996,0.7033,0.9937,10.0,,Easy,0.9995,0.0001
anova,Filter,10,Colorectal_GSE44861,0.9189,0.6665,0.8703,10.0,,Medium,0.8916,0.0273
anova,Filter,10,Leukemia_GSE63270,0.9988,0.7936,0.9917,10.0,,Easy,1.0,-0.0012
anova,Filter,10,Liver_GSE14520_U133A,0.981,0.8479,0.9564,10.0,,Easy,0.981,0.0
anova,Filter,10,Liver_GSE76427,0.9774,0.8926,0.9626,10.0,,Easy,0.9696,0.0078
anova,Filter,10,Lung_GSE19804,0.9851,0.6789,0.9576,10.0,,Easy,0.9851,0.0
anova,Filter,10,Pancreatic_GSE16515,0.934,0.3839,0.8727,10.0,,Medium,0.9307,0.0033
anova,Filter,10,Prostate_GSE6919_U95Av2,0.7207,0.3618,0.6605,10.0,,Hard,0.7075,0.0132
anova,Filter,10,Renal_GSE53757,0.8965,0.4039,0.8539,10.0,,Medium,0.8714,0.0251
anova,Filter,15,Bladder_GSE31189,0.5856,0.2142,0.5592,15.0,,Hard,0.6019,-0.0163
anova,Filter,15,Breast_GSE70947,0.9354,0.6441,0.8724,15.0,,Medium,0.9319,0.0035
anova,Filter,15,Colorectal_GSE44076,0.9998,0.7626,0.9948,15.0,,Easy,0.9998,0.0
anova,Filter,15,Colorectal_GSE44861,0.9276,0.63,0.8743,15.0,,Medium,0.8924,0.0352
anova,Filter,15,Leukemia_GSE63270,1.0,0.7753,0.9933,15.0,,Easy,1.0,0.0
anova,Filter,15,Liver_GSE14520_U133A,0.9816,0.8168,0.9614,15.0,,Easy,0.982,-0.0004
anova,Filter,15,Liver_GSE76427,0.9737,0.8553,0.9597,15.0,,Easy,0.9727,0.001
anova,Filter,15,Lung_GSE19804,0.9869,0.6808,0.952,15.0,,Easy,0.9872,-0.0003
anova,Filter,15,Pancreatic_GSE16515,0.9286,0.4096,0.867,15.0,,Medium,0.9281,0.0005
anova,Filter,15,Prostate_GSE6919_U95Av2,0.7029,0.4064,0.6304,15.0,,Hard,0.7029,0.0
anova,Filter,15,Renal_GSE53757,0.8901,0.4283,0.8468,15.0,,Medium,0.8726,0.0175
anova,Filter,20,Bladder_GSE31189,0.5946,0.2261,0.5472,20.0,,Hard,0.6283,-0.0337
anova,Filter,20,Breast_GSE70947,0.9335,0.6296,0.871,20.0,,Medium,0.9346,-0.0011
anova,Filter,20,Colorectal_GSE44076,0.9998,0.8141,0.9948,20.0,,Easy,0.9998,0.0
anova,Filter,20,Colorectal_GSE44861,0.9251,0.6005,0.874,20.0,,Medium,0.896,0.0291
anova,Filter,20,Leukemia_GSE63270,1.0,0.7526,0.9967,20.0,,Easy,1.0,0.0
anova,Filter,20,Liver_GSE14520_U133A,0.9822,0.8449,0.9591,20.0,,Easy,0.9822,0.0
anova,Filter,20,Liver_GSE76427,0.9717,0.8543,0.9557,20.0,,Easy,0.968,0.0037
anova,Filter,20,Lung_GSE19804,0.9893,0.7471,0.963,20.0,,Easy,0.9878,0.0015
anova,Filter,20,Pancreatic_GSE16515,0.9357,0.4468,0.8604,20.0,,Medium,0.9281,0.0076
anova,Filter,20,Prostate_GSE6919_U95Av2,0.6897,0.4862,0.6287,20.0,,Hard,0.6908,-0.0011
anova,Filter,20,Renal_GSE53757,0.8887,0.4538,0.8469,20.0,,Medium,0.8707,0.018
anova,Filter,30,Bladder_GSE31189,0.6025,0.258,0.5729,30.0,,Hard,0.6312,-0.0287
anova,Filter,30,Breast_GSE70947,0.9383,0.6329,0.8821,30.0,,Medium,0.9373,0.001
anova,Filter,30,Colorectal_GSE44076,0.9999,0.8142,0.9948,30.0,,Easy,0.9999,0.0
anova,Filter,30,Colorectal_GSE44861,0.9211,0.616,0.8682,30.0,,Medium,0.896,0.0251
